12X196    P.S. 196
12X211    P.S. 211
12X212    P.S. 212
12X214    P.S. 214
12X217    School of Performing Arts
12X242    Mott Hall V
12X248    Metropolitan High School, The
12X251    Explorations Academy
12X267    Bronx Latin
12X271    East Bronx Academy for the Future
12X273    Frederick Douglass Academy V. Middle School
12X286    Fannie Lou Hamer Middle School
12X300    The School of Science and Applied Learning
12X314    Fairmont Neighborhood School
12X316    Kappa III
12X318    I.S. X318 Math, Science & Technology Through Arts
12X321    Crotona Academy High School
12X341    Accion Academy
12X372    Urban Assembly School for Wildlife Conservation
12X383    Emolior Academy
12X384    Entrada Academy
12X388    Pan American International High School at Monroe
12X446    Arturo A. Schomburg Satellite Academy Bronx
12X458    Samara Community School
12X463    Urban Scholars Community School
12X478    The Cinema School
12X479    Bronx Career and College Preparatory High School
12X480    Bronx Regional High School
12X511    Bronx Envision Academy
12X521    The Metropolitan Soundview High School
12X531    Archer Elementary School
12X536    P.S. 536
12X550    High School of World Cultures
12X682    Fannie Lou Hamer Freedom High School
12X684    Wings Academy
12X691    Bronx Little School
12X692    Monroe Academy for Visual Arts & Design
13K003    P.S. 003 The Bedford Village
13K008    P.S. 008 Robert Fulton
13K009    P.S. 009 Teunis G. Bergen
13K011    P.S. 011 Purvis J. Behan
13K020    P.S. 020 Clinton Hill
13K044    P.S. 044 Marcus Garvey
13K046    P.S. 046 Edward C. Blum
13K054    P.S. 054 Samuel C. Barnes
13K056    P.S. 056 Lewis H. Latimer
13K067    P.S. 067 Charles A. Dorsey
13K093    P.S. 093 William H. Prescott
13K113    M.S. 113 Ronald Edmonds Learning Center
13K133    P.S. 133 William A. Butler
13K256    P.S. 256 Benjamin Banneker
13K265    Dr. Susan S. McKinney Secondary School of the Arts
13K266    M.S. K266 - Park Place Community Middle School
13K270    P.S. 270 Johann DeKalb
13K282    P.S. 282 Park Slope
13K287    P.S. 287 Bailey K. Ashford
13K301    Satellite East Middle School
13K305    P.S. 305 Dr. Peter Ray
13K307    P.S. 307 Daniel Hale Williams
13K313    Dock Street School for STEAM Studies
13K350    Urban Assembly School for Music and Art
13K351    The Urban Assembly Unison School
13K412    Brooklyn Community High School of Communication, Arts and Media
13K419    Science Skills Center High School for Science, Technology and the Creative Arts
13K430    Brooklyn Technical High School
13K439    Brooklyn International High School
13K483    The Urban Assembly School for Law and Justice
13K492    Academy of Arts and Letters
13K499    ACORN Community High School
13K527    Urban Assembly Institute of Math and Science for Young Women
13K553    Brooklyn Academy High School
13K575    Bedford Stuyvesant Preparatory High School
13K595    Bedford Academy High School
13K605    George Westinghouse Career and Technical Education High School
13K616    Brooklyn High School for Leadership and Community Service
13K670    Benjamin Banneker Academy
13K674    City Polytechnic High School of Engineering, Architecture, and Technology
13K691    Fort Greene Preparatory Academy
13K869    District 13 PRE-K Center
14K016    P.S. 016 Leonard Dunkly
14K017    P.S. 017 Henry D. Woodworth
14K018    P.S. 018 Edward Bush
14K023    P.S. 023 Carter G. Woodson
14K031    P.S. 031 Samuel F. Dupont
14K034    P.S. 034 Oliver H. Perry
14K050    J.H.S. 050 John D. Wells
14K059    P.S. 059 William Floyd
14K071    Juan Morel Campos Secondary School
14K084    P.S. 084 Jose De Diego
14K110    P.S. 110 The Monitor
14K120    P.S. 120 Carlos Tapia
14K126    John Ericsson Middle School 126
14K132    P.S. 132 The Conselyea School
14K147    P.S. 147 Isaac Remsen
14K157    P.S./I.S. 157 The Benjamin Franklin Health & Science Academy
14K196    P.S. 196 Ten Eyck
14K250    P.S. 250 George H. Lindsay
14K257    P.S. 257 John F. Hylan
14K297    P.S. 297 Abraham Stockton
14K318    I.S. 318 Eugenio Maria De Hostos
14K319    P.S. 319
14K380    P.S. 380 John Wayne Elementary
14K414    Brooklyn Arbor Elementary School
14K449    Brooklyn Latin School, The
14K454    Green School: An Academy for Environmental Careers
14K474    PROGRESS High School for Professional Careers
14K477    School for Legal Studies
14K478    The High School for Enterprise, Business and Technology
14K488    Brooklyn Preparatory High School
14K558    Williamsburg High School for Architecture and Design
14K561    Williamsburg Preparatory School
